k,cell_type_plot,broad_cluster
20,"effector mem. CD4+, alpha-beta T cell",1
20,"effector mem. CD8+, alpha-beta T cell",1
20,"effector mem. CD8+, alpha-beta T cell, term. diff.",1
20,ependymal cell,1
20,erythroblast,1
20,erythrocyte,1
20,exhausted T cell,1
20,gamma-delta T cell,1
20,hematopoietic stem cell,1
20,immature B cell,1
20,immature innate lymphoid cell,1
20,innate lymphoid cell,1
20,intraepithelial lymphocyte,1
20,leukocyte,1
20,lymphocyte,1
20,lymphoid lineage restricted progenitor cell,1
20,mast cell,1
20,mature B cell,1
20,mature NK T cell,1
20,mature T cell,1
20,mature alpha-beta T cell,1
20,mature gamma-delta T cell,1
20,megakaryocyte-erythroid progenitor cell,1
20,mem. B cell,1
20,mem. T cell,1
20,mucosal invariant T cell,1
20,naive B cell,1
20,naive T cell,1
20,"naive thym.-der. CD4+, alpha-beta T cell",1
20,"naive thym.-der. CD8+, alpha-beta T cell",1
20,neutrophil,1
20,plasma cell,1
20,plasmablast,1
20,platelet,1
20,pre. B cell,1
20,pro-B cell,1
20,regulatory T cell,1
20,renal interstitial pericyte,1
20,sncg GABAergic cortical interneuron,1
20,transitional stage B cell,1
